precision	_samples	_average _epoch total (real s)	_median _epoch total (real s)	_siqr _epoch total (real s)	_average _epoch total (s)	_median _epoch total (s)	_siqr _epoch total (s)	_average policy type=max_prob_output vars=s_bday-s_byear param=1/20	_median policy type=max_prob_output vars=s_bday-s_byear param=1/20	_siqr policy type=max_prob_output vars=s_bday-s_byear param=1/20
0	12	66.2741589944	69.79443454745	5.462750852125	23.7853162501	23.8288445001	0.0455259999999988	0.000383715129888	0.000383715129888	0
1	12	10.3688100576692	12.02098262315	3.531199276465	4.17515800001	4.20655000001	0.05717375	1	1	0
2	12	14.7725358208342	15.1573261023	0.91348278525	5.20700683334333	5.22759400001	0.0127857499999999	1	1	0
3	12	19.58119509623	20.6828681231	1.8799176216	6.89769916667667	6.91699550001	0.0179619999999998	0.000422086642877	0.000422086642877	0
4	12	17.5068465074325	19.67027235035	2.99239963295	6.96268933334333	6.97307750001	0.0361084999999997	0.000422086642877	0.000422086642877	0
5	12	18.6573714812967	22.23053681855	6.487608969175	7.92421766667667	7.96632350001	0.0926434999999999	0.000422086642877	0.000422086642877	0
6	12	23.4615536729917	26.53669250015	4.2772014141	8.61352700001	8.65875450001	0.0534327499999989	0.000422086642877	0.000422086642877	0
7	12	28.72648260995	30.88265609745	4.315906405425	10.2051483334333	10.2314200001	0.048956500000001	0.000422086642877	0.000422086642877	0
8	12	26.1837972403167	28.77596402175	1.407547295075	9.67242450001	9.70943650001	0.0214427500000003	0.000805801772764	0.000805801772764	0
9	12	28.6654614806667	30.1723917723	2.274033606075	10.5908799167667	10.6180855001	0.0454920000000003	0.000805801772764	0.000805801772764	0
10	12	31.592135588375	32.9354330302	2.03430759905	11.2248183334333	11.2305795001	0.0238947500000002	0.000805801772764	0.000805801772764	0
11	12	38.72479828205	40.3939927817	1.69874078035	12.6836114167667	12.7053190001	0.018294	0.000460458155866	0.000460458155866	0
12	12	35.4021121264	36.28544271	1.91671061515	12.0549110001	12.0633675001	0.0428034999999998	0.000805801772764	0.000805801772764	0
13	12	40.9150833090667	40.56076359755	2.1263643503	12.9377195001	12.9353615001	0.0214274999999997	0.000805801772764	0.000805801772764	0
14	12	40.0391039252667	40.8280538321	1.799619197825	13.4467737501	13.4563190001	0.0291232500000005	0.000805801772764	0.000805801772764	0
15	12	43.2424566945	43.0222051144	2.61082714795	14.9034241667667	14.9138335001	0.0474975000000004	0.000460458155866	0.000460458155866	0
16	12	39.8429850539	42.4023159743	3.093905210475	14.2527478334333	14.2605830001	0.0544212499999999	0.000805801772764	0.000805801772764	0
17	12	48.2460680604417	48.8958562613	0.938258409499998	15.1337340001	15.1406750001	0.0292472500000001	0.000805801772764	0.000805801772764	0
18	12	53.8817425768167	53.7193225623	3.894815802575	17.6023895834333	17.6061600001	0.0306899999999981	0.000805801772764	0.000805801772764	0
19	12	55.3587230047	54.8874830008	2.170691370975	18.2136004167667	18.2113160001	0.0392692500000003	0.000460458155866	0.000460458155866	0
20	12	51.80342570945	52.7033501864	2.207852602025	18.0241584167667	18.0279935001	0.0327190000000002	0.000460458155866	0.000460458155866	0
21	12	56.5648430188917	56.18875014785	2.0879431963	18.6027713334333	18.6246025001	0.0446942500000009	0.000460458155866	0.000460458155866	0
22	12	57.3675732017167	57.3527485133	2.409456074275	19.0589965001	19.0702495001	0.0389274999999998	0.000460458155866	0.000460458155866	0
23	12	57.724129517925	57.71454596525	1.53554594515	19.6407630001	19.6499360001	0.0299477499999998	0.000460458155866	0.000460458155866	0
24	12	58.6006758412333	60.650253892	3.595643997225	19.5971794167667	19.6053300001	0.0348657500000016	0.000460458155866	0.000460458155866	0
25	12	56.8971660336417	58.42309010035	4.3468712568	20.2101123334333	20.2401795001	0.0773247499999989	0.000460458155866	0.000460458155866	0
