precision	_samples	_average _epoch total (real s)	_median _epoch total (real s)	_siqr _epoch total (real s)	_q_lower _epoch total (real s)	_q_upper _epoch total (real s)	_min _epoch total (real s)	_max _epoch total (real s)	_average _epoch total (s)	_median _epoch total (s)	_siqr _epoch total (s)	_q_lower _epoch total (s)	_q_upper _epoch total (s)	_min _epoch total (s)	_max _epoch total (s)	_average policy type=max_prob_output vars=s_bday-s_byear param=999/1	_median policy type=max_prob_output vars=s_bday-s_byear param=999/1	_siqr policy type=max_prob_output vars=s_bday-s_byear param=999/1	_q_lower policy type=max_prob_output vars=s_bday-s_byear param=999/1	_q_upper policy type=max_prob_output vars=s_bday-s_byear param=999/1	_min policy type=max_prob_output vars=s_bday-s_byear param=999/1	_max policy type=max_prob_output vars=s_bday-s_byear param=999/1
0	20	17.63932507042	17.9069501162	1.13975572585	16.2820554972	18.5615669489	14.6173520089	21.4425222874	11.5783084001	11.5780985001	0.0231429999999992	11.5540770001	11.6003630001	11.5131940001	11.6765390001	0.000146655520848	0.000146655520848	0	0.000146655520848	0.000146655520848	0.000146655520848	0.000146655520848
1	20	6.1182914733945	5.7688844204	1.414297044275	4.59977185727	7.42836594582	4.55241274834	10.4432280064	4.21149090001	4.20085850001	0.0388424999999999	4.16972000001	4.24740500001	4.14797700001	4.32332000001	1	1	0	1	1	1.	1.
2	20	5.9269842743925	4.85011208058	0.8410347700125	4.829141736035	6.51121127606	4.77490830422	9.46140980721	4.39318150001	4.37392250001	0.0371085	4.35776200001	4.43197900001	4.33465900001	4.49601600001	1	1	0	1	1	1.	1.
3	20	10.81353576187	10.89510619645	2.6802639365375	7.804870009425	13.1653978825	7.75008296967	15.8958907128	7.10904300001	7.09324750001	0.0613415000000002	7.04408750001	7.16677050001	7.01187400001	7.28867900001	0.000146655520848	0.000146655520848	0	0.000146655520848	0.000146655520848	0.000146655520848	0.000146655520848
4	20	10.5616676211675	10.80814838415	2.0001667142175	8.424341559415	12.42467498785	7.58492565156	13.8572468758	6.98716825001	7.01387900001	0.060819	6.91883550001	7.04047350001	6.88340300001	7.08801600001	0.000161321072932	0.000161321072932	0	0.000161321072932	0.000161321072932	0.000161321072932	0.000161321072932
5	20	10.0273949027295	8.01045775414	1.7664341330875	7.938768148425	11.4716364146	7.92754507065	20.7555489541	7.27411240001	7.22763000001	0.0602952499999998	7.20797200001	7.32856250001	7.19088700001	7.54221800001	0.000161321072932	0.000161321072932	0	0.000161321072932	0.000161321072932	0.000161321072932	0.000161321072932
6	20	9.903155410314	8.0165604353	2.387957632565	7.96499347687	12.740908742	7.92331194878	13.8116030694	7.27700210001	7.23769050001	0.0714392500000001	7.21651800001	7.35939650001	7.20114100001	7.38742000001	0.000161321072932	0.000161321072932	0	0.000161321072932	0.000161321072932	0.000161321072932	0.000161321072932
7	20	11.0685747623765	11.44915461545	2.101937294035	8.45414102078	12.65801560885	8.294547081	14.9943945408	7.61602415001	7.64589900001	0.0632552500000001	7.54793700001	7.67444750001	7.52055200001	7.69856000001	0.000161321072932	0.000161321072932	0	0.000161321072932	0.000161321072932	0.000161321072932	0.000161321072932
8	20	10.817332577722	10.732636094105	2.19144189359	8.38830757142	12.7711913586	8.25808787346	14.2211990357	7.58522115001	7.59181400001	0.0590319999999998	7.51965000001	7.63771400001	7.49881200001	7.67416600001	0.000307976593779	0.000307976593779	0	0.000307976593779	0.000307976593779	0.000307976593779	0.000307976593779
9	20	12.052120900198	11.70762896545	1.64208561185	10.163064003	13.4472352267	8.54193997384	20.8126549721	7.88903450001	7.88837850001	0.0465297499999995	7.84275100001	7.93581050001	7.75886100001	8.14565700001	0.000307976593779	0.000307976593779	0	0.000307976593779	0.000307976593779	0.000307976593779	0.000307976593779
