precision	_samples	_average _epoch total (real s)	_median _epoch total (real s)	_siqr _epoch total (real s)	_q_lower _epoch total (real s)	_q_upper _epoch total (real s)	_min _epoch total (real s)	_max _epoch total (real s)	_average _epoch total (s)	_median _epoch total (s)	_siqr _epoch total (s)	_q_lower _epoch total (s)	_q_upper _epoch total (s)	_min _epoch total (s)	_max _epoch total (s)	_average policy type=max_prob_output vars=s_bday-s_byear param=999/1	_median policy type=max_prob_output vars=s_bday-s_byear param=999/1	_siqr policy type=max_prob_output vars=s_bday-s_byear param=999/1	_q_lower policy type=max_prob_output vars=s_bday-s_byear param=999/1	_q_upper policy type=max_prob_output vars=s_bday-s_byear param=999/1	_min policy type=max_prob_output vars=s_bday-s_byear param=999/1	_max policy type=max_prob_output vars=s_bday-s_byear param=999/1
0	20	7.991122376929	6.800083041195	1.674059152605	6.41968047619	9.7677987814	6.39192581177	12.1643662453	5.86749585001	5.84462700001	0.0478095000000001	5.82345400001	5.91907300001	5.81158800001	6.00688800001	0.000383715129888	0.000383715129888	0	0.000383715129888	0.000383715129888	0.000383715129888	0.000383715129888
1	20	4.3646931052265	4.57826209069	0.8558326363575	3.08763158322	4.799296855935	3.01701688767	7.2072107792	2.81893180001	2.81469050001	0.0282984999999998	2.78802000001	2.84461700001	2.77194200001	2.89332600001	1	1	0	1	1	1.	1.
2	20	4.579480290417	4.766707181935	1.023710131645	3.286140799525	5.333561062815	3.22893285752	6.88697218895	3.01863900001	3.01044050001	0.0477775	2.97121700001	3.06677200001	2.96733500001	3.08447500001	1	1	0	1	1	1.	1.
3	20	6.051753950124	6.292173862465	0.9582589864725	4.679564952855	6.5960829258	4.58634400368	9.23959088326	4.24835220001	4.24121350001	0.0272622499999997	4.21724650001	4.27177100001	4.18682500001	4.32804100001	0.000383715129888	0.000383715129888	0	0.000383715129888	0.000383715129888	0.000383715129888	0.000383715129888
4	20	5.8144388437355	4.57540786267	1.1596618890775	4.55072510243	6.870048880585	4.51618885994	11.4120380879	4.16518610001	4.13565550001	0.0382104999999999	4.12311200001	4.19953300001	4.10263000001	4.30028200001	0.000422086642877	0.000422086642877	0	0.000422086642877	0.000422086642877	0.000422086642877	0.000422086642877
5	20	6.629886841783	6.51014399529	1.549061656	4.863985896115	7.962109208115	4.80994153023	10.6333453656	4.44233175001	4.43657950001	0.0417964999999998	4.39955150001	4.48314450001	4.37615100001	4.53231300001	0.000422086642877	0.000422086642877	0	0.000422086642877	0.000422086642877	0.000422086642877	0.000422086642877
6	20	6.937790441524	6.39096105099	2.02884107828	4.887143731125	8.944825887685	4.85917520524	10.4703378678	4.49507010001	4.47278950001	0.0578772500000007	4.44037400001	4.55612850001	4.43005800001	4.60806500001	0.000422086642877	0.000422086642877	0	0.000422086642877	0.000422086642877	0.000422086642877	0.000422086642877
7	20	6.991516602052	5.874505519875	1.5873494744325	5.261050581935	8.4357495308	5.1939110756	12.3283629418	4.80807230001	4.77987700001	0.0530880000000002	4.75462950001	4.86080550001	4.74186200001	4.96704400001	0.000422086642877	0.000422086642877	0	0.000422086642877	0.000422086642877	0.000422086642877	0.000422086642877
8	20	7.335592150694	7.40372097493	1.8991183042525	5.262159466745	9.06039607525	5.20177912713	12.4942288399	4.82405340001	4.81269900001	0.0649180000000005	4.76516050001	4.89499650001	4.74516300001	4.91580300001	0.000805801772764	0.000805801772764	0	0.000805801772764	0.000805801772764	0.000805801772764	0.000805801772764
9	20	7.8056591630115	7.72179389	1.98686730862	5.585808277135	9.559542894375	5.51986885071	11.9980940819	5.09732365001	5.07732350001	0.0543182500000001	5.03724700001	5.14588350001	5.01957900001	5.21194700001	0.000805801772764	0.000805801772764	0	0.000805801772764	0.000805801772764	0.000805801772764	0.000805801772764
10	20	8.2224927663975	7.77708792687	2.5953151583825	5.605228543285	10.79585886005	5.48023104668	12.7684931756	5.07235430001	5.06420700001	0.0613445000000006	5.00622800001	5.12891700001	4.98132900001	5.21253500001	0.000805801772764	0.000805801772764	0	0.000805801772764	0.000805801772764	0.000805801772764	0.000805801772764
15	20	8.4416298985675	7.762927293785	2.0099353194325	6.161122918135	10.180993557	6.02418208123	13.5778069497	5.55715665001	5.53083400001	0.0505377499999997	5.50941950001	5.61049500001	5.48248600001	5.73564800001	0.000460458155866	0.000460458155866	0	0.000460458155866	0.000460458155866	0.000460458155866	0.000460458155866
20	20	9.257897186293	8.232700347905	2.1773473620625	6.646861910825	11.00155663495	6.61004495621	16.7572600842	6.10476520001	6.08151900001	0.0559807499999998	6.03081750001	6.14277900001	6.00770600001	6.32372500001	0.000460458155866	0.000460458155866	0	0.000460458155866	0.000460458155866	0.000460458155866	0.000460458155866
25	20	8.662387561809	7.532217979435	1.8963205218475	6.695980429655	10.48862147335	6.61066412926	15.6790289879	6.09271960001	6.05517700001	0.0685812500000003	6.03445050001	6.17161300001	6.01851100001	6.28699000001	0.000460458155866	0.000460458155866	0	0.000460458155866	0.000460458155866	0.000460458155866	0.000460458155866
30	20	8.101926612876	6.68066704274	1.7047280669525	6.618600845345	10.02805697925	6.56486082078	12.0107119084	6.03741885001	6.00444450001	0.0492517499999998	5.99203300001	6.09053650001	5.97712300001	6.14798800001	0.000460458155866	0.000460458155866	0	0.000460458155866	0.000460458155866	0.000460458155866	0.000460458155866
35	20	9.666515791441	9.82101666928	1.6049751639575	8.186266541485	11.3962168694	6.2692270279	12.0614218712	6.03556585001	6.05123600001	0.0508275	5.99218850001	6.09384350001	5.88605200001	6.13446600001	0.000422086642877	0.000422086642877	0	0.000422086642877	0.000422086642877	0.000422086642877	0.000422086642877
