precision	_samples	_average policy type=max_prob_output vars=s_bday-s_byear param=999/1	_median policy type=max_prob_output vars=s_bday-s_byear param=999/1	_siqr policy type=max_prob_output vars=s_bday-s_byear param=999/1	_q_lower policy type=max_prob_output vars=s_bday-s_byear param=999/1	_q_upper policy type=max_prob_output vars=s_bday-s_byear param=999/1	_min policy type=max_prob_output vars=s_bday-s_byear param=999/1	_max policy type=max_prob_output vars=s_bday-s_byear param=999/1	domain	relative	psize
0	200	0.000383715129888	0.000383715129888	0	0.000383715129888	0.000383715129888	0.000383715129888	0.000383715129888	box	0	0.2
1	200	1	1	0	1	1	1.	1.	box	1	1.5
2	200	0.98505447583879	1	0	1	1	0.00104993000467	1.	box	2	0.264864864864865
3	200	0.791129796479773	1	0	1	1	0.000383715129888	1.	box	3	0.297297297297297
4	200	0.692224018801024	1	0.49531000435601	0.00937999128798	1	0.00075432745752	1.	box	4	0.32972972972973
5	200	0.68799149687496	1	0.495732520507468	0.008534958985065	1	0.000822368421053	1.	box	5	0.362162162162162
6	200	0.543035615578316	1	0.497963524314738	0.004072951370525	1	0.00127466924531	1.	box	6	0.394594594594595
7	200	0.499920019393297	0.08984932593205	0.497900853511637	0.004198292976725	1	0.000908471496707	1.	box	7	0.427027027027027
8	200	0.465320427321591	0.03241945633515	0.497714669339782	0.004570661320435	1	0.00148301942756	1.	box	8	0.459459459459459
9	200	0.286388634969143	0.00618556701031	0.498050145529135	0.00389970894173	1	0.00154249575814	1.	box	9	0.491891891891892
10	200	0.281812323400229	0.00721510317642	0.497834392160875	0.00433121567825	1	0.00185293543983	1.	box	10	0.524324324324324
11	200	0.210374213391508	0.005598880447825	0.00571689819388	0.00395081899694	0.0153846153847	0.00147121636373	1.	box	11	0.556756756756757
12	200	0.1525379545632	0.004943465433585	0.0025666766869375	0.00363244350916	0.008765796883035	0.00194698217763	1.	box	12	0.589189189189189
13	200	0.112756748284421	0.00534877612034	0.0030784056974875	0.00384872997064	0.010005541365615	0.0020342797784	1.	box	13	0.621621621621622
14	200	0.100929107554577	0.00525290181718	0.001955793027605	0.00370308543044	0.00761467148565	0.00185687042056	1.	box	14	0.654054054054054
15	200	0.0733262321048704	0.004148148512325	0.0015484637240625	0.003211274793895	0.00630820224202	0.00167775851463	1.	box	15	0.686486486486487
16	200	0.0548939252415469	0.003888089153085	0.0010362904120525	0.00309215504526	0.005164735869365	0.00188464018252	1.	box	16	0.718918918918919
17	200	0.0260478735736334	0.004054481891125	0.00122285794517	0.003090825473485	0.005536541363825	0.00106951871658	1.	box	17	0.751351351351351
18	200	0.0144136946126555	0.00346822177493	0.0007354384241675	0.002879557882145	0.00435043473048	0.00174438888243	1.	box	18	0.783783783783784
19	200	0.0040824975301324	0.00326854826057	0.0006850145728	0.002703536381545	0.004073565527145	0.00154889707846	0.0515463917526	box	19	0.816216216216216
20	200	0.00347382420233365	0.00304217781425	0.0006292863985875	0.002508509503865	0.00376708230104	0.00154889707846	0.0412371134021	box	20	0.848648648648649
21	200	0.00307782814913345	0.002904139554995	0.00060937347485	0.002270671445675	0.003489418395375	0.00141449614672	0.0140056022409	box	21	0.881081081081081
22	200	0.0027896472558486	0.00261166562752	0.0005618549230825	0.0021045616479	0.003228271494065	0.000998851320981	0.0140056022409	box	22	0.913513513513514
23	200	0.00257665453911665	0.0024427814956	0.00050574884357	0.001985052936015	0.002996550623155	0.000998851320981	0.0140056022409	box	23	0.945945945945946
24	200	0.0023551927683189	0.002308507284735	0.00043144214677	0.00190373254618	0.00276661683972	0.000998851320981	0.00487804878049	box	24	0.978378378378378
25	200	0.00214858243731207	0.002083106412375	0.0003837258768525	0.001729841878775	0.00249729363248	0.000843134775094	0.00398708942472	box	25	1.01081081081081
26	200	0.00197573320244195	0.00194243125941	0.0004107908885025	0.001567774519355	0.00238935629636	0.000843134775094	0.0038850518007	box	26	1.04324324324324
27	200	0.00180471184197456	0.001732435088345	0.0003403992650075	0.001432257372045	0.00211305590206	0.000767430259776	0.0033917118895	box	27	1.07567567567568
28	200	0.00162678265216014	0.001588588416745	0.0003039700906175	0.00125977514572	0.001867715326955	0.000767430259776	0.00293000045782	box	28	1.10810810810811
29	200	0.00149411007290486	0.001442403132565	0.000309648455075	0.00115616483608	0.00177546174623	0.000767430259776	0.00293000045782	box	29	1.14054054054054
30	200	0.00134134572745027	0.00122756518795	0.0002501772982675	0.00108932461874	0.001589679215275	0.000731782468033	0.0025639830311	box	30	1.17297297297297
31	200	0.00119286154925288	0.001144166366475	0.00026871050030825	0.0008761519254635	0.00141357292608	0.000460458155866	0.0024349211971	box	31	1.20540540540541
32	200	0.00105650113094697	0.001086289872	0.00021696901607875	0.0007856336152675	0.001219571647425	0.000422086642877	0.00234275528394	box	32	1.23783783783784
33	200	0.000900069219595405	0.00080097803634	0.000187617449022	0.000736405565676	0.00111164046372	0.000383715129888	0.00180417398089	box	33	1.27027027027027
34	200	0.00075292839336825	0.00075432745752	5.2487531899e-05	0.000697647378009	0.000802622441807	0.000383715129888	0.00122549019608	box	34	1.3027027027027
35	200	0.000596143782447224	0.000729058746787	0.000154847912578	0.000422086642877	0.000731782468033	0.000383715129888	0.00080097803634	box	35	1.33513513513514
36	200	0.000383715129888	0.000383715129888	0	0.000383715129888	0.000383715129888	0.000383715129888	0.000383715129888	box	36	1.36756756756757
