precision	_samples	_average _epoch total (real s)	_median _epoch total (real s)	_siqr _epoch total (real s)	_average _epoch total (s)	_median _epoch total (s)	_siqr _epoch total (s)	_average policy type=max_prob_output vars=s_bday-s_byear param=1/20	_median policy type=max_prob_output vars=s_bday-s_byear param=1/20	_siqr policy type=max_prob_output vars=s_bday-s_byear param=1/20
0	8	62.876604557075	67.52937293055	8.444377839575	23.7487562501	23.8160570001	0.112387	0.000383715129888	0.000383715129888	0
1	8	9.81569984557875	10.88836002355	3.279322028165	4.16981275001	4.19686950001	0.0573334999999999	1	1	0
2	8	14.2247513532888	15.0540685654	1.359223008175	5.19617625001	5.22759400001	0.0378405000000002	1	1	0
3	8	18.93510505562	20.6828681231	2.847859323	6.88861375001	6.92354750001	0.0466764999999998	0.000422086642877	0.000422086642877	0
4	8	17.0680250525863	19.67027235035	3.704650700105	6.95982025001	6.97307750001	0.0366452499999999	0.000422086642877	0.000422086642877	0
5	8	17.6178085804325	17.6643440724	7.2705972194475	7.91429712501	7.92210300001	0.104536749999999	0.000422086642877	0.000422086642877	0
6	8	23.185844391625	26.26518106465	3.9204264283	8.61157937501	8.65762200001	0.0459319999999988	0.000422086642877	0.000422086642877	0
7	8	28.235697805925	30.88265609745	4.315906405425	10.2028802501	10.2547195001	0.0671587500000008	0.000422086642877	0.000422086642877	0
8	8	24.9807532728375	28.55986905105	4.4286854863	9.65645600001	9.70943650001	0.0478912500000002	0.000805801772764	0.000805801772764	0
9	8	27.2749368548875	30.1723917723	4.332406759275	10.5712156251	10.6069270001	0.08793425	0.000805801772764	0.000805801772764	0
10	8	30.344032734675	32.6989166737	4.853271842	11.2165141251	11.2311420001	0.039344250000001	0.000805801772764	0.000805801772764	0
15	8	41.9292925298875	42.51347160345	1.93325954675	14.8836951251	14.9073835001	0.0560677500000004	0.000460458155866	0.000460458155866	0
20	8	50.102955192375	51.35863947875	2.24038636685	18.0067672501	18.0268810001	0.0357674999999986	0.000460458155866	0.000460458155866	0
25	8	54.7845537663125	57.3349101544	5.7103717923	20.1813582501	20.2223090001	0.127659999999999	0.000460458155866	0.000460458155866	0
30	8	66.0333256424	65.43331253535	1.87957751752501	22.4970018751	22.5029080001	0.0368689999999994	0.000460458155866	0.000460458155866	0
35	8	71.0841010213125	70.26485800745	2.22484707832501	24.0107927501	23.9832890001	0.0573012500000019	0.000422086642877	0.000422086642877	0
40	8	66.945268958875	69.16534399995	2.88813614845	23.8010457501	23.8293365001	0.0278972499999988	0.000383715129888	0.000383715129888	0
