type	constraints	time (s)	time (real s)
count	8	0.044021	0.048080
count	8	0.041137	0.044314
count	8	0.043831	0.046975
count	8	0.041253	0.044647
count	8	0.042592	0.045604
count	8	0.043497	0.046590
count	8	0.041699	0.044496
count	8	0.040236	0.043490
count	8	0.040546	0.043865
count	8	0.044961	0.048463
count	8	0.043298	0.047781
count	8	0.041716	0.045846
count	8	0.042735	0.046425
count	8	0.041265	0.044915
count	8	0.043360	0.046814
count	8	0.041792	0.045839
count	8	0.041678	0.045575
count	8	0.042688	0.046901
count	8	0.042219	0.045773
count	8	0.041350	0.045188
count	10	0.046214	0.050234
count	10	0.045252	0.049444
count	10	0.045763	0.049570
count	10	0.047997	0.052066
count	10	0.046775	0.052139
count	10	0.045934	0.049889
count	10	0.050477	0.054072
count	10	0.046113	0.049643
count	10	0.050249	0.054101
count	10	0.050598	0.055254
count	10	0.047715	0.051724
count	10	0.045677	0.050205
count	10	0.045467	0.048765
count	10	0.046388	0.050509
count	10	0.046397	0.050694
count	10	0.046629	0.050441
count	10	0.047712	0.051235
count	10	0.045324	0.049454
count	10	0.044995	0.049647
count	10	0.047105	0.050777
count	10	0.046484	0.051100
count	10	0.046590	0.049999
count	10	0.051484	0.056587
count	10	0.050732	0.054445
count	10	0.045765	0.049710
count	10	0.047472	0.051482
count	10	0.050460	0.055098
count	10	0.050531	0.054992
count	10	0.050042	0.054537
count	10	0.049440	0.053800
count	10	0.049732	0.054415
count	10	0.050437	0.054389
count	10	0.050734	0.055046
count	10	0.050547	0.055212
count	10	0.046721	0.051703
count	10	0.045390	0.049691
count	10	0.045069	0.049837
count	10	0.045962	0.049983
count	10	0.045637	0.050904
count	10	0.046951	0.050949
count	10	0.049120	0.054017
count	10	0.050943	0.055303
count	10	0.048841	0.053871
count	10	0.050817	0.054982
count	10	0.048596	0.053924
count	10	0.050603	0.054523
count	10	0.044819	0.050123
count	10	0.045050	0.048452
count	10	0.044705	0.049525
count	10	0.046664	0.051332
count	10	0.046639	0.051384
count	10	0.045031	0.050092
count	12	0.052323	0.056317
count	12	0.051987	0.056695
count	12	0.053469	0.057615
count	12	0.051688	0.055820
count	12	0.053950	0.058829
count	12	0.052599	0.057292
count	12	0.050893	0.055904
count	12	0.052789	0.057272
count	12	0.051444	0.055791
count	12	0.051136	0.056256
count	12	0.052253	0.056282
count	12	0.051738	0.056295
count	12	0.054775	0.060319
count	12	0.051901	0.055948
count	12	0.053629	0.059836
count	12	0.056065	0.060786
count	12	0.054594	0.059750
count	12	0.054255	0.059538
count	12	0.056651	0.061601
count	12	0.054649	0.060097
count	12	0.054963	0.060099
count	12	0.056087	0.060066
count	14	0.060595	0.066216
count	14	0.061934	0.066620
count	14	0.060065	0.065306
count	14	0.063228	0.067921
count	14	0.064382	0.069231
count	14	0.064781	0.117139
count	14	0.064259	0.069269
count	14	0.060116	0.066000
count	14	0.061417	0.066161
count	14	0.060311	0.065267
count	14	0.059944	0.064090
count	14	0.060624	0.065403
count	14	0.060884	0.065488
count	14	0.064124	0.068341
count	14	0.063003	0.068594
count	14	0.064989	0.069556
count	14	0.061843	0.067230
count	14	0.064359	0.069108
count	14	0.062985	0.068660
count	14	0.063770	0.068079
count	14	0.060079	0.065367
count	14	0.060946	0.065795
count	14	0.058681	0.063771
count	14	0.059949	0.064969
count	14	0.059498	0.064723
count	14	0.060563	0.065192
count	14	0.059726	0.064254
count	14	0.059716	0.064758
count	14	0.061939	0.066025
count	14	0.059630	0.064729
count	14	0.061754	0.065471
count	14	0.060034	0.064132
count	14	0.059497	0.065031
count	14	0.061140	0.064717
