policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_1-P_2	P_1	P_2	[P_2.worth=10]	181/8281	0.021858	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=11]	180/8281	0.021737	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=12]	179/8281	0.021616	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=13]	178/8281	0.021495	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=14]	177/8281	0.021375	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=15]	176/8281	0.021254	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=16]	25/1183	0.021133	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=17]	174/8281	0.021012	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=18]	173/8281	0.020892	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=19]	172/8281	0.020771	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=20]	171/8281	0.020650	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=21]	170/8281	0.020529	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=22]	1/49	0.020409	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=23]	24/1183	0.020288	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=24]	167/8281	0.020167	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=25]	166/8281	0.020046	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=26]	165/8281	0.019926	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=27]	164/8281	0.019805	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=28]	163/8281	0.019684	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=29]	162/8281	0.019563	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=30]	23/1183	0.019443	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=31]	160/8281	0.019322	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=32]	159/8281	0.019201	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=33]	158/8281	0.019080	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=34]	157/8281	0.018960	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=35]	12/637	0.018839	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=36]	155/8281	0.018718	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=37]	22/1183	0.018597	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=38]	153/8281	0.018477	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=39]	152/8281	0.018356	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=40]	151/8281	0.018235	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=41]	150/8281	0.018114	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=42]	149/8281	0.017993	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=43]	148/8281	0.017873	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=44]	3/169	0.017752	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=45]	146/8281	0.017631	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=46]	145/8281	0.017510	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=47]	144/8281	0.017390	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=48]	11/637	0.017269	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=49]	142/8281	0.017148	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=50]	141/8281	0.017027	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=51]	20/1183	0.016907	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=52]	139/8281	0.016786	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=53]	138/8281	0.016665	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=54]	137/8281	0.016544	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=55]	136/8281	0.016424	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=56]	136/8281	0.016424	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=57]	137/8281	0.016544	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=58]	138/8281	0.016665	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=59]	139/8281	0.016786	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=60]	20/1183	0.016907	[who_richer=0]
