policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_2-P_1	P_2	P_1	10	1/1	1.000000	[out=1]
P_2-P_1	P_2	P_1	11	1/2	0.500000	[out=1]
P_2-P_1	P_2	P_1	12	1/3	0.333334	[out=1]
P_2-P_1	P_2	P_1	13	1/4	0.250000	[out=1]
P_2-P_1	P_2	P_1	14	1/5	0.200000	[out=1]
P_2-P_1	P_2	P_1	15	1/6	0.166667	[out=1]
P_2-P_1	P_2	P_1	16	1/7	0.142858	[out=1]
P_2-P_1	P_2	P_1	17	1/8	0.125000	[out=1]
P_2-P_1	P_2	P_1	18	1/9	0.111112	[out=1]
P_2-P_1	P_2	P_1	19	1/10	0.100000	[out=1]
P_2-P_1	P_2	P_1	20	1/11	0.090910	[out=1]
P_2-P_1	P_2	P_1	21	1/12	0.083334	[out=1]
P_2-P_1	P_2	P_1	22	1/13	0.076924	[out=1]
P_2-P_1	P_2	P_1	23	1/14	0.071429	[out=1]
P_2-P_1	P_2	P_1	24	1/15	0.066667	[out=1]
P_2-P_1	P_2	P_1	25	1/16	0.062500	[out=1]
P_2-P_1	P_2	P_1	26	1/17	0.058824	[out=1]
P_2-P_1	P_2	P_1	27	1/18	0.055556	[out=1]
P_2-P_1	P_2	P_1	28	1/19	0.052632	[out=1]
P_2-P_1	P_2	P_1	29	1/20	0.050000	[out=1]
P_2-P_1	P_2	P_1	30	1/21	0.047620	[out=1]
P_2-P_1	P_2	P_1	31	1/22	0.045455	[out=1]
P_2-P_1	P_2	P_1	32	1/23	0.043479	[out=1]
P_2-P_1	P_2	P_1	33	1/24	0.041667	[out=1]
P_2-P_1	P_2	P_1	34	1/25	0.040000	[out=1]
P_2-P_1	P_2	P_1	35	1/26	0.038462	[out=1]
P_2-P_1	P_2	P_1	36	1/27	0.037038	[out=1]
P_2-P_1	P_2	P_1	37	1/28	0.035715	[out=1]
P_2-P_1	P_2	P_1	38	1/29	0.034483	[out=1]
P_2-P_1	P_2	P_1	39	1/30	0.033334	[out=1]
P_2-P_1	P_2	P_1	40	1/31	0.032259	[out=1]
P_2-P_1	P_2	P_1	41	1/32	0.031250	[out=1]
P_2-P_1	P_2	P_1	42	1/33	0.030304	[out=1]
P_2-P_1	P_2	P_1	43	1/34	0.029412	[out=1]
P_2-P_1	P_2	P_1	44	1/35	0.028572	[out=1]
P_2-P_1	P_2	P_1	45	1/36	0.027778	[out=1]
P_2-P_1	P_2	P_1	46	1/37	0.027028	[out=1]
P_2-P_1	P_2	P_1	47	1/38	0.026316	[out=1]
P_2-P_1	P_2	P_1	48	1/39	0.025642	[out=1]
P_2-P_1	P_2	P_1	49	1/40	0.025000	[out=1]
P_2-P_1	P_2	P_1	50	1/41	0.024391	[out=1]
P_2-P_1	P_2	P_1	51	1/42	0.023810	[out=1]
P_2-P_1	P_2	P_1	52	1/43	0.023256	[out=1]
P_2-P_1	P_2	P_1	53	1/44	0.022728	[out=1]
P_2-P_1	P_2	P_1	54	1/45	0.022223	[out=1]
P_2-P_1	P_2	P_1	55	1/46	0.021740	[out=1]
P_2-P_1	P_2	P_1	56	1/47	0.021277	[out=1]
P_2-P_1	P_2	P_1	57	1/48	0.020834	[out=1]
P_2-P_1	P_2	P_1	58	1/49	0.020409	[out=1]
P_2-P_1	P_2	P_1	59	1/50	0.020000	[out=1]
P_2-P_1	P_2	P_1	60	1/51	0.019608	[out=1]
P_2-P_1	P_2	P_1	61	1/52	0.019231	[out=1]
P_2-P_1	P_2	P_1	62	1/53	0.018868	[out=1]
P_2-P_1	P_2	P_1	63	1/54	0.018519	[out=1]
P_2-P_1	P_2	P_1	64	1/55	0.018182	[out=1]
P_2-P_1	P_2	P_1	65	1/56	0.017858	[out=1]
P_2-P_1	P_2	P_1	66	91/5032	0.018085	[out=0]
P_2-P_1	P_2	P_1	67	91/4917	0.018508	[out=0]
P_2-P_1	P_2	P_1	68	91/4800	0.018959	[out=0]
P_2-P_1	P_2	P_1	69	91/4681	0.019441	[out=0]
P_2-P_1	P_2	P_1	70	91/4560	0.019957	[out=0]
P_2-P_1	P_2	P_1	71	91/4437	0.020510	[out=0]
P_2-P_1	P_2	P_1	72	13/616	0.021104	[out=0]
P_2-P_1	P_2	P_1	73	91/4185	0.021745	[out=0]
P_2-P_1	P_2	P_1	74	7/312	0.022436	[out=0]
P_2-P_1	P_2	P_1	75	91/3925	0.023185	[out=0]
P_2-P_1	P_2	P_1	76	91/3792	0.023998	[out=0]
P_2-P_1	P_2	P_1	77	91/3657	0.024884	[out=0]
P_2-P_1	P_2	P_1	78	91/3520	0.025853	[out=0]
P_2-P_1	P_2	P_1	79	13/483	0.026916	[out=0]
P_2-P_1	P_2	P_1	80	91/3240	0.028087	[out=0]
P_2-P_1	P_2	P_1	81	91/3097	0.029384	[out=0]
P_2-P_1	P_2	P_1	82	91/2952	0.030827	[out=0]
P_2-P_1	P_2	P_1	83	91/2805	0.032443	[out=0]
P_2-P_1	P_2	P_1	84	91/2656	0.034263	[out=0]
P_2-P_1	P_2	P_1	85	91/2505	0.036328	[out=0]
P_2-P_1	P_2	P_1	86	13/336	0.038691	[out=0]
P_2-P_1	P_2	P_1	87	7/169	0.041421	[out=0]
P_2-P_1	P_2	P_1	88	91/2040	0.044608	[out=0]
P_2-P_1	P_2	P_1	89	91/1881	0.048379	[out=0]
P_2-P_1	P_2	P_1	90	91/1720	0.052907	[out=0]
P_2-P_1	P_2	P_1	91	91/1557	0.058446	[out=0]
P_2-P_1	P_2	P_1	92	91/1392	0.065374	[out=0]
P_2-P_1	P_2	P_1	93	13/175	0.074286	[out=0]
P_2-P_1	P_2	P_1	94	91/1056	0.086175	[out=0]
P_2-P_1	P_2	P_1	95	91/885	0.102825	[out=0]
P_2-P_1	P_2	P_1	96	91/712	0.127809	[out=0]
P_2-P_1	P_2	P_1	97	91/537	0.169460	[out=0]
P_2-P_1	P_2	P_1	98	91/360	0.252778	[out=0]
P_2-P_1	P_2	P_1	99	91/181	0.502763	[out=0]
P_2-P_1	P_2	P_1	100	1/91	0.010990	[out=1]
