policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_1-P_2	P_1	P_2	[P_2.x=10]	2/91	0.021979	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=11]	91/4096	0.022217	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=12]	46/2049	0.022450	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=13]	31/1367	0.022678	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=14]	94/4105	0.022899	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=15]	19/822	0.023115	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=16]	8/343	0.023324	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=17]	97/4123	0.023527	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=18]	98/4131	0.023724	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=19]	11/460	0.023914	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=20]	2/83	0.024097	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=21]	101/4161	0.024274	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=22]	34/1391	0.024443	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=23]	103/4186	0.024606	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=24]	13/525	0.024762	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=25]	7/281	0.024912	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=26]	106/4231	0.025054	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=27]	107/4248	0.025189	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=28]	2/79	0.025317	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=29]	109/4285	0.025438	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=30]	22/861	0.025552	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=31]	37/1442	0.025659	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=32]	28/1087	0.025759	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=33]	113/4371	0.025853	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=34]	38/1465	0.025939	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=35]	23/884	0.026019	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=36]	58/2223	0.026091	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=37]	13/497	0.026157	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=38]	118/4501	0.026217	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=39]	119/4530	0.026270	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=40]	1/38	0.026316	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=41]	121/4591	0.026356	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=42]	122/4623	0.026390	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=43]	41/1552	0.026418	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=44]	62/2345	0.026440	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=45]	5/189	0.026456	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=46]	14/529	0.026466	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=47]	127/4798	0.026470	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=48]	32/1209	0.026469	[out=0]
P_1-P_2	P_1	P_2	[P_2.x=49]	7/262	0.026718	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=50]	91/3366	0.027036	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=51]	13/475	0.027369	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=52]	13/469	0.027719	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=53]	91/3240	0.028087	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=54]	91/3196	0.028474	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=55]	91/3151	0.028880	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=56]	91/3105	0.029308	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=57]	91/3058	0.029759	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=58]	13/430	0.030233	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=59]	13/423	0.030733	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=60]	91/2911	0.031261	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=61]	7/220	0.031819	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=62]	7/216	0.032408	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=63]	91/2755	0.033031	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=64]	91/2701	0.033692	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=65]	13/378	0.034392	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=66]	13/370	0.035136	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=67]	91/2533	0.035926	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=68]	91/2475	0.036768	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=69]	91/2416	0.037666	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=70]	91/2356	0.038625	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=71]	91/2295	0.039652	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=72]	13/319	0.040753	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=73]	13/310	0.041936	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=74]	7/162	0.043210	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=75]	7/157	0.044586	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=76]	91/1975	0.046076	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=77]	91/1908	0.047694	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=78]	91/1840	0.049457	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=79]	13/253	0.051384	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=80]	13/243	0.053498	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=81]	91/1630	0.055829	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=82]	91/1558	0.058409	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=83]	91/1485	0.061280	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=84]	91/1411	0.064494	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=85]	91/1336	0.068114	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=86]	13/180	0.072223	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=87]	1/13	0.076924	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=88]	7/85	0.082353	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=89]	91/1026	0.088694	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=90]	91/946	0.096195	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=91]	91/865	0.105203	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=92]	91/783	0.116220	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=93]	13/100	0.130000	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=94]	13/88	0.147728	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=95]	91/531	0.171375	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=96]	91/445	0.204495	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=97]	91/358	0.254190	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=98]	91/270	0.337038	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=99]	91/181	0.502763	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=100]	1/1	1.000000	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=10]	2/91	0.021979	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=11]	91/4096	0.022217	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=12]	91/4098	0.022206	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=13]	91/4101	0.022190	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=14]	91/4105	0.022169	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=15]	91/4110	0.022142	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=16]	13/588	0.022109	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=17]	13/589	0.022072	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=18]	91/4131	0.022029	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=19]	91/4140	0.021981	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=20]	91/4131	0.022029	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=21]	91/4120	0.022088	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=22]	7/316	0.022152	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=23]	1/45	0.022223	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=24]	13/583	0.022299	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=25]	91/4066	0.022381	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=26]	91/4050	0.022470	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=27]	91/4033	0.022564	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=28]	91/4015	0.022666	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=29]	91/3996	0.022773	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=30]	13/568	0.022888	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=31]	13/565	0.023009	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=32]	91/3933	0.023138	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=33]	91/3910	0.023274	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=34]	91/3886	0.023418	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=35]	7/297	0.023570	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=36]	7/295	0.023729	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=37]	13/544	0.023898	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=38]	13/540	0.024075	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=39]	91/3751	0.024261	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=40]	91/3721	0.024456	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=41]	91/3690	0.024662	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=42]	91/3658	0.024877	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=43]	91/3625	0.025104	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=44]	13/513	0.025342	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=45]	13/508	0.025591	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=46]	91/3520	0.025853	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=47]	91/3483	0.026127	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=48]	7/265	0.026416	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=49]	7/262	0.026718	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=50]	91/3366	0.027036	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=51]	13/475	0.027369	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=52]	13/469	0.027719	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=53]	91/3240	0.028087	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=54]	91/3196	0.028474	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=55]	91/3151	0.028880	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=56]	91/3105	0.029308	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=57]	91/3058	0.029759	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=58]	13/430	0.030233	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=59]	13/423	0.030733	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=60]	91/2911	0.031261	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=61]	7/220	0.031819	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=62]	7/216	0.032408	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=63]	91/2755	0.033031	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=64]	91/2701	0.033692	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=65]	13/378	0.034392	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=66]	13/370	0.035136	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=67]	91/2533	0.035926	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=68]	91/2475	0.036768	[out=1]
