policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_1-P_2	P_1	P_2	[P_2.x=1]	8/83	0.096386	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=2]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=3]	5/74	0.067568	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=4]	21/337	0.062315	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=5]	11/185	0.059460	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=6]	22/405	0.054321	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=7]	23/442	0.052037	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=8]	24/479	0.050105	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=9]	25/517	0.048356	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=10]	25/554	0.045127	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=11]	26/593	0.043845	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=12]	27/632	0.042722	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=13]	28/673	0.041605	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=14]	28/713	0.039271	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=15]	29/751	0.038616	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=16]	30/779	0.038511	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=17]	31/805	0.038510	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=18]	31/827	0.037485	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=19]	32/847	0.037781	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=20]	33/863	0.038239	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=21]	34/877	0.038769	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=22]	34/887	0.038332	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=23]	7/179	0.039107	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=24]	36/899	0.040045	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=25]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=26]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=27]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=28]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=29]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=30]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=31]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=32]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=33]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=34]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=35]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=36]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=37]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=38]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=39]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=40]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=41]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=42]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=43]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=44]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=45]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=46]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=47]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=48]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=49]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=50]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=51]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=52]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=53]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=54]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=55]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=56]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=57]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=58]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=59]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=60]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=61]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=62]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=63]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=64]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=65]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=66]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=67]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=68]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=69]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=70]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=71]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=72]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=73]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=74]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=75]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=76]	37/901	0.041066	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=77]	37/900	0.041112	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=78]	37/897	0.041249	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=79]	37/892	0.041480	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=80]	37/885	0.041808	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=81]	37/876	0.042238	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=82]	37/865	0.042775	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=83]	37/852	0.043428	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=84]	37/837	0.044206	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=85]	37/820	0.045122	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=86]	37/801	0.046193	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=87]	37/780	0.047436	[similar=1]
